date	gold	platinum	palladium	silver50
20120705	1674.34	1532.48	622.31	1445.50
20120706	1687.92	1552.46	623.28	1467.50
20120707	1669.56	1538.71	609.40	1485.50
20120710	1676.93	1527.37	614.13	1449.00
20120711	1690.46	1525.60	618.09	1444.00
20120712	1663.92	1504.02	611.11	1455.00
20120713	1646.75	1485.28	604.84	1426.00
20120714	1657.97	1497.31	607.96	1400.00
20120717	1661.27	1492.42	607.24	1441.00
20120718	1666.38	1491.91	611.18	1413.00
20120719	1645.55	1476.25	606.34	1428.50
20120720	1629.42	1457.20	600.20	1394.00
20120721	1626.13	1453.55	597.86	1410.00
20120724	1635.79	1451.03	592.28	1409.00
20120725	1650.32	1461.47	591.72	1413.50
20120726	1682.55	1474.28	597.77	1427.00
20120727	1681.28	1469.42	593.64	1421.50
20120728	1676.50	1467.55	593.44	1440.00
20120731	1672.87	1446.75	588.84	1435.00
20120801	1680.26	1469.29	609.87	1431.00
20120802	1678.54	1467.78	612.27	1465.50
20120803	1674.29	1458.80	608.36	1454.00
20120804	1668.46	1456.11	599.39	1434.00
20120807	1650.23	1433.77	591.59	1399.50
20120808	1642.09	1434.41	593.51	1411.00
20120809	1637.34	1431.52	596.04	1426.50
20120810	1632.31	1431.15	595.13	1409.00
20120811	1649.56	1437.79	594.80	1437.00
20120814	1662.26	1434.53	596.36	1428.50
20120815	1649.30	1430.18	589.95	1432.50
20120816	1633.19	1431.70	589.88	1425.50
20120817	1644.62	1433.85	591.80	1417.50
20120818	1655.14	1490.80	601.03	1425.50
20120821	1662.66	1513.15	618.64	1451.50
20120822	1668.75	1523.87	621.67	1443.50
20120823	1677.53	1559.42	646.27	1478.50
20120824	1693.47	1577.86	647.85	1494.00
20120825	1704.35	1570.88	659.65	1550.50
20120828	1708.10	1574.89	658.85	1556.00
20120829	1712.43	1567.79	661.91	1563.00
20120830	1717.26	1568.41	654.19	1589.50
20120831	1720.39	1582.30	657.22	1595.50
20120901	1735.75	1578.95	647.08	1605.00
20120904	1757.21	1608.17	660.78	1590.50
20120905	1751.10	1607.72	657.38	1643.00
20120906	1763.23	1612.42	661.67	1674.00
20120907	1768.72	1635.69	669.80	1661.50
